"UMI_cellID","UMI_transID","target","x","y","z","tLLR_maxCellType","score_tLLR_maxCellType","SVM_class","transComp"
"c_1_51_238",494872,"CTRB2",6400.22351546639,-4999.36705937197,5.6,"Acinar.1",0,1,"intraC"
"c_1_51_238",494873,"EIF4A1",6400.58447835918,-4999.36705937197,4,"Acinar.1",-0.933249798487049,1,"intraC"
"c_1_51_238",494874,"CDH13",6400.70464037899,-4999.36705937197,3.2,"Acinar.1",-1.37280195629052,1,"intraC"
"c_1_51_238",494875,"CDH13",6400.82480239877,-4999.36705937197,2.4,"Acinar.1",-1.37280195629052,1,"intraC"
"c_1_51_238",494876,"TLE5",6401.90721424374,-4999.36705937197,2.4,"Acinar.1",-0.792045353293712,1,"intraC"
"c_1_51_238",494877,"CELA3A",6402.02785309695,-4999.36705937197,4,"Acinar.1",0,1,"intraC"
"c_1_51_238",494878,"SELENBP1",6402.26817713654,-4999.36705937197,3.2,"Acinar.1",-0.758569153083574,1,"intraC"
"c_1_51_238",494879,"RASL11A",6399.14110362142,-4999.24642051877,5.6,"Acinar.1",-1.4122237702295,1,"intraC"
"c_1_51_238",494880,"RPL35",6399.26126564122,-4999.24642051877,5.6,"Acinar.1",-0.0445446050229892,1,"intraC"
"c_1_51_238",494881,"EEF2",6399.38142766101,-4999.24642051877,4.8,"Acinar.1",0,1,"intraC"
"c_1_51_238",494882,"RCC1L",6400.22351546639,-4999.24642051877,3.2,"Acinar.1",-1.74253280749747,1,"intraC"
"c_1_51_238",494883,"CLPS",6400.82480239877,-4999.24642051877,4,"Acinar.1",0,1,"intraC"
"c_1_51_238",494884,"GLTPD2",6401.30592731136,-4999.24642051877,4,"Acinar.1",-1.00899948738417,1,"intraC"
"c_1_51_238",494885,"CELA2A",6401.66689020415,-4999.24642051877,4,"Acinar.1",0,1,"intraC"
"c_1_51_238",494886,"CPAMD8",6402.26817713654,-4999.24642051877,4.8,"Acinar.1",-0.0227283108335081,1,"intraC"
"c_1_51_238",494887,"PPP1CB",6402.38833915633,-4999.24642051877,2.4,"Acinar.1",-0.664636789165273,1,"intraC"
"c_1_51_238",494888,"CELA2A",6402.99010292213,-4999.24642051877,5.6,"Acinar.1",0,1,"intraC"
"c_1_51_238",494889,"PRSS3",6399.14110362142,-4999.12625849896,4,"Acinar.1",0,1,"intraC"
"c_1_51_238",494890,"PRSS3",6400.1033534466,-4999.12625849896,4.8,"Acinar.1",0,1,"intraC"
"c_1_51_238",494891,"SYNPO2",6401.42608933116,-4999.12625849896,3.2,"Acinar.1",-1.06338673644171,1,"intraC"
"c_1_51_238",494892,"PRSS1",6401.78705222395,-4999.12625849896,5.6,"Acinar.1",0,1,"intraC"
"c_1_51_238",494893,"PRSS1",6401.78705222395,-4999.12625849896,4.8,"Acinar.1",0,1,"intraC"
"c_1_51_238",494894,"PI16",6402.02785309695,-4999.12625849896,5.6,"Acinar.1",-1.01222035833127,1,"intraC"
