name,hierarchy_fit_status,fit_rank_score,median_branch_supported_raw_score,median_final_score,fraction_l1_positive_branch_support,median_marker_detection_support_fraction,fraction_unknown,fraction_low_absolute_support,fraction_backoff_applied,median_branch_support_score,fit_rank
colon_tme,good,3.689481763040072,0.7966761463250633,1.2741351581849836,1.0,1.0,0.0,0.0,0.0,-0.02430942609518078,1
pancreas_tme,good,3.6155614163919076,0.896342072891221,1.1606825143441983,1.0,0.8,0.0,0.0,0.0,-0.01796096106205288,2
breast_tme,good,3.4838774651442925,0.7637754237535113,1.1145918718893773,1.0,1.0,0.0,0.0,0.0,-0.017928028316080948,3
brain_core,poor,1.7901843109238138,0.11845112214706031,0.42435273991792916,1.0,0.8,0.0,0.0,0.0,-0.013378758445548136,4
