Feature	Comparison	Estimate	P	FDR	sig_level
Indoleamine 2_3-dioxygenase	No vs Yes	0.498516294541578	0.312662059420519	0.995681809340043	NS or Estimate < 0.25
CD33	No vs Yes	0.332217080446517	0.279024304004625	0.995681809340043	NS or Estimate < 0.25
IL-1 beta	No vs Yes	0.224105453021421	0.649477936478751	0.995681809340043	NS or Estimate < 0.25
IFIT1	No vs Yes	-0.122156309265663	0.878575996861493	0.995681809340043	NS or Estimate < 0.25
ErbB4 / HER4 (phospho Y1162)	No vs Yes	0.264113462805718	0.34617794697701	0.995681809340043	NS or Estimate < 0.25
Galectin 3	No vs Yes	0.643081766438582	0.461221876234315	0.995681809340043	NS or Estimate < 0.25
pan Cytokeratin	No vs Yes	0.0688724837405514	0.848975716602909	0.995681809340043	NS or Estimate < 0.25
KDM3A / JHDM2A	No vs Yes	0.139671571505237	0.485669954611167	0.995681809340043	NS or Estimate < 0.25
CXCR6	No vs Yes	0.207277594756608	0.423736463787634	0.995681809340043	NS or Estimate < 0.25
CD47	No vs Yes	0.386084852606101	0.270017109685061	0.995681809340043	NS or Estimate < 0.25
HDAC3	No vs Yes	0.268847011240565	0.351067078178352	0.995681809340043	NS or Estimate < 0.25
IL-5RA	No vs Yes	0.32485017034813	0.168227303091967	0.995681809340043	NS or Estimate < 0.25
IGF1 Receptor	No vs Yes	0.283950879970063	0.325850964023954	0.995681809340043	NS or Estimate < 0.25
CD127	No vs Yes	0.220186473433326	0.429127142657656	0.995681809340043	NS or Estimate < 0.25
p57 Kip2	No vs Yes	0.300933338381045	0.419827995307692	0.995681809340043	NS or Estimate < 0.25
IL-1 alpha	No vs Yes	1.11814428972961	0.145743301795127	0.995681809340043	NS or Estimate < 0.25
HLA-C	No vs Yes	-0.0293498207505313	0.97952805280408	0.995681809340043	NS or Estimate < 0.25
CD74	No vs Yes	0.554904123042726	0.468882001967227	0.995681809340043	NS or Estimate < 0.25
CD16	No vs Yes	1.07669814690949	0.168965864783124	0.995681809340043	NS or Estimate < 0.25
IL22 RA2/IL-22BP	No vs Yes	0.28736475876741	0.14873982740028	0.995681809340043	NS or Estimate < 0.25
GLP-1R	No vs Yes	0.0727825053228433	0.808059770032902	0.995681809340043	NS or Estimate < 0.25
CXCL5 + CXCL6	No vs Yes	0.363344428820141	0.218682125913599	0.995681809340043	NS or Estimate < 0.25
HLA E	No vs Yes	0.661452964433567	0.238481197292412	0.995681809340043	NS or Estimate < 0.25
Caspase-3	No vs Yes	0.244707245122513	0.480373231721083	0.995681809340043	NS or Estimate < 0.25
Cyclin B1	No vs Yes	-0.0801693080395725	0.753088451742322	0.995681809340043	NS or Estimate < 0.25
Glutaminase	No vs Yes	0.669616403431004	0.348840792551715	0.995681809340043	NS or Estimate < 0.25
