Feature	Comparison	Estimate	P	FDR	sig_level
STAT6 (phospho Y641)	No vs Yes	0.381382132832514	0.0764201502302697	0.995681809340043	NS or Estimate < 0.25
CD134 / OX40L receptor	No vs Yes	0.244448375031922	0.436348973525413	0.995681809340043	NS or Estimate < 0.25
Poliovirus Receptor/PVR	No vs Yes	0.203032673244921	0.490849000664788	0.995681809340043	NS or Estimate < 0.25
UBE2C	No vs Yes	0.1927162061996	0.422883506676368	0.995681809340043	NS or Estimate < 0.25
p40 - DeltaNp63	No vs Yes	0.211583032869655	0.399250670458366	0.995681809340043	NS or Estimate < 0.25
FAK	No vs Yes	1.3091652165933	0.136872141922584	0.995681809340043	NS or Estimate < 0.25
MelanA	No vs Yes	0.188180302924612	0.436067638946654	0.995681809340043	NS or Estimate < 0.25
MMP14	No vs Yes	0.0796826415273564	0.778422221012639	0.995681809340043	NS or Estimate < 0.25
MMP1	No vs Yes	0.18037987708376	0.372327641827362	0.995681809340043	NS or Estimate < 0.25
MRP8	No vs Yes	2.0901498004809	0.0752522627463071	0.995681809340043	NS or Estimate < 0.25
Somatostatin Receptor 2	No vs Yes	0.309092422059592	0.219555315833738	0.995681809340043	NS or Estimate < 0.25
MMP7	No vs Yes	0.255774025611964	0.368737733044415	0.995681809340043	NS or Estimate < 0.25
Cleaved PARP1	No vs Yes	0.109921630231706	0.636609546767567	0.995681809340043	NS or Estimate < 0.25
TROP2	No vs Yes	0.196227913666111	0.765783294754907	0.995681809340043	NS or Estimate < 0.25
S100A12/CGRP	No vs Yes	0.709655962888204	0.132459757030797	0.995681809340043	NS or Estimate < 0.25
MS4A2	No vs Yes	0.318887570364047	0.30531070869056	0.995681809340043	NS or Estimate < 0.25
SOCS3	No vs Yes	0.325159063100237	0.25451638275814	0.995681809340043	NS or Estimate < 0.25
Smad2 (phospho S467)	No vs Yes	0.289714947736786	0.506926245954106	0.995681809340043	NS or Estimate < 0.25
eNOS	No vs Yes	0.228606018719903	0.543065626317862	0.995681809340043	NS or Estimate < 0.25
TMS1/ASC	No vs Yes	0.554248169340517	0.532128067984818	0.995681809340043	NS or Estimate < 0.25
CD133	No vs Yes	0.507314175063744	0.269777458558392	0.995681809340043	NS or Estimate < 0.25
MX1	No vs Yes	0.123879935708047	0.904803551279226	0.995681809340043	NS or Estimate < 0.25
S100A8 + S100A9	No vs Yes	1.45898008807223	0.0467935457368693	0.995681809340043	P < 0.05
Wee1	No vs Yes	0.254152661229447	0.429392949957507	0.995681809340043	NS or Estimate < 0.25
PTCH2	No vs Yes	0.187074957693411	0.623109237099783	0.995681809340043	NS or Estimate < 0.25
PTGES2/Gbf1	No vs Yes	0.416927413867256	0.149256218993358	0.995681809340043	NS or Estimate < 0.25
TRAF1	No vs Yes	0.269160783108549	0.551683673520778	0.995681809340043	NS or Estimate < 0.25
Syk (phospho Y352) +ZAP70 (phospho Y319)	No vs Yes	0.298199474866528	0.0038490632830173	0.446491340830007	P < 0.05
NSD3	No vs Yes	0.268241587882149	0.460723327749875	0.995681809340043	NS or Estimate < 0.25
SHP2	No vs Yes	0.25965286088911	0.304259122518853	0.995681809340043	NS or Estimate < 0.25
PU.1/Spi1	No vs Yes	0.395400222966752	0.165365692046366	0.995681809340043	NS or Estimate < 0.25
PI 3 Kinase catalytic subunit gamma/PI3K-gamma	No vs Yes	0.298072601617845	0.388246173700407	0.995681809340043	NS or Estimate < 0.25
SLC7A5/LAT1	No vs Yes	0.616305127102513	0.0930022345630872	0.995681809340043	NS or Estimate < 0.25
TNF alpha	No vs Yes	0.270897576744845	0.268666196110593	0.995681809340043	NS or Estimate < 0.25
T-bet / Tbx21	No vs Yes	0.322344270904645	0.217456644736981	0.995681809340043	NS or Estimate < 0.25
TAP2	No vs Yes	0.839903045652471	0.493082204849257	0.995681809340043	NS or Estimate < 0.25
SIGLEC5	No vs Yes	0.264522668508856	0.376746928655299	0.995681809340043	NS or Estimate < 0.25
PRDM1/Blimp1	No vs Yes	0.250353716268382	0.000840569321935507	0.121882551680649	P < 0.05
SIRT1	No vs Yes	0.24584567340276	0.369580369372277	0.995681809340043	NS or Estimate < 0.25
Glucocorticoid Receptor (phospho S226)	No vs Yes	0.372343826164518	0.275384276170331	0.995681809340043	NS or Estimate < 0.25
Urokinase	No vs Yes	0.37665980859479	0.235696366590467	0.995681809340043	NS or Estimate < 0.25
PI 3 Kinase p85 alpha	No vs Yes	0.414992430549255	0.1271634198091	0.995681809340043	NS or Estimate < 0.25
AKT1 (phospho S473)	No vs Yes	0.23536038393266	0.422730555217171	0.995681809340043	NS or Estimate < 0.25
STAT5 (phospho Y694)	No vs Yes	0.45744454466764	0.28476741874753	0.995681809340043	NS or Estimate < 0.25
Oct4	No vs Yes	0.342051389235982	0.19075289201032	0.995681809340043	NS or Estimate < 0.25
APG5L/ATG5	No vs Yes	0.188010646623495	0.336319393067162	0.995681809340043	NS or Estimate < 0.25
ErbB2 / HER2 (phospho Y877)	No vs Yes	0.202373003130577	0.485054917054163	0.995681809340043	NS or Estimate < 0.25
Histone H3 (phospho S10)	No vs Yes	1.100751404331	0.075242877871967	0.995681809340043	NS or Estimate < 0.25
CD79b	No vs Yes	0.339570404854404	0.421099151599414	0.995681809340043	NS or Estimate < 0.25
SHP1	No vs Yes	0.278035335733548	0.0439700689388336	0.995681809340043	P < 0.05
Hsp27	No vs Yes	-0.16385833171166	0.816204132955977	0.995681809340043	NS or Estimate < 0.25
HLA F	No vs Yes	0.142464618309216	0.428003796570822	0.995681809340043	NS or Estimate < 0.25
FOXO4/AFX	No vs Yes	0.238863039790036	0.289701254413403	0.995681809340043	NS or Estimate < 0.25
CDK1	No vs Yes	0.596921117192916	0.254308448552394	0.995681809340043	NS or Estimate < 0.25
PCNA	No vs Yes	-0.163868373994617	0.809001105120183	0.995681809340043	NS or Estimate < 0.25
LDL Receptor	No vs Yes	-0.0149034885481886	0.972796543422647	0.995681809340043	NS or Estimate < 0.25
RPS6 (phospho S235 + S236)	No vs Yes	0.522433920207165	0.324587447363367	0.995681809340043	NS or Estimate < 0.25
TLR9	No vs Yes	0.234220087684588	0.387441935438071	0.995681809340043	NS or Estimate < 0.25
NFAT2	No vs Yes	0.600039339580533	0.416473896291044	0.995681809340043	NS or Estimate < 0.25
NFkB p105 / p50	No vs Yes	0.292022389094745	0.765181761413923	0.995681809340043	NS or Estimate < 0.25
p53 (phospho S392)	No vs Yes	0.642205929735278	0.0896741914687331	0.995681809340043	NS or Estimate < 0.25
Chk1	No vs Yes	0.120806484524276	0.613001070174771	0.995681809340043	NS or Estimate < 0.25
Cyclin E1	No vs Yes	0.32084871248222	0.405141434979581	0.995681809340043	NS or Estimate < 0.25
JunD	No vs Yes	0.149963577173671	0.773664381537317	0.995681809340043	NS or Estimate < 0.25
CREBBP	No vs Yes	0.0259894027991663	0.959499557482379	0.995681809340043	NS or Estimate < 0.25
ERK1	No vs Yes	0.258652869759119	0.638017089704065	0.995681809340043	NS or Estimate < 0.25
Histone H2A (phospho T120)	No vs Yes	0.37601513767549	0.342453351178989	0.995681809340043	NS or Estimate < 0.25
NQO1	No vs Yes	0.578281012359474	0.379925038534838	0.995681809340043	NS or Estimate < 0.25
PARP1	No vs Yes	0.255752694311279	0.473562931261451	0.995681809340043	NS or Estimate < 0.25
Thymidylate Synthase	No vs Yes	0.284825248256126	0.416124318570008	0.995681809340043	NS or Estimate < 0.25
ALK	No vs Yes	0.0625742215299966	0.785301536918634	0.995681809340043	NS or Estimate < 0.25
Insulin Receptor beta	No vs Yes	0.480749216416165	0.192211785242804	0.995681809340043	NS or Estimate < 0.25
TNFAIP3	No vs Yes	0.38751946370747	0.308616594812873	0.995681809340043	NS or Estimate < 0.25
Rb (phospho T356)	No vs Yes	0.165032119045608	0.510617412492629	0.995681809340043	NS or Estimate < 0.25
TRAF2	No vs Yes	0.0106054433560802	0.972637274341487	0.995681809340043	NS or Estimate < 0.25
ERK2	No vs Yes	0.284554141776614	0.696359552837734	0.995681809340043	NS or Estimate < 0.25
RAGE	No vs Yes	0.141153287404925	0.517209557992816	0.995681809340043	NS or Estimate < 0.25
Histone H3 (acetyl K18)	No vs Yes	0.699574649485431	0.100330946277119	0.995681809340043	NS or Estimate < 0.25
Cathepsin G	No vs Yes	0.369576102062366	0.619521292436599	0.995681809340043	NS or Estimate < 0.25
CD73	No vs Yes	0.192735834377413	0.631516521758847	0.995681809340043	NS or Estimate < 0.25
beta Actin	No vs Yes	0.351764469474636	0.419668356459413	0.995681809340043	NS or Estimate < 0.25
MMP8	No vs Yes	0.263312523616373	0.263424912915525	0.995681809340043	NS or Estimate < 0.25
YKL-40/CHI3L1	No vs Yes	0.225970794034639	0.321715387395799	0.995681809340043	NS or Estimate < 0.25
IL-2RG	No vs Yes	0.191356639112797	0.599104555189877	0.995681809340043	NS or Estimate < 0.25
Tuberin	No vs Yes	1.01444070413132	0.196508006241697	0.995681809340043	NS or Estimate < 0.25
SFRP1	No vs Yes	0.104501224863507	0.745554091515652	0.995681809340043	NS or Estimate < 0.25
GGT1/GGT	No vs Yes	0.333271881421901	0.293998390715266	0.995681809340043	NS or Estimate < 0.25
IDH1	No vs Yes	0.370412641434083	0.390276127722333	0.995681809340043	NS or Estimate < 0.25
BRCA1	No vs Yes	0.23692851295328	0.434101491762611	0.995681809340043	NS or Estimate < 0.25
p53	No vs Yes	0.221491170207512	0.386294003604193	0.995681809340043	NS or Estimate < 0.25
CD44	No vs Yes	0.363352178122656	0.475491384590945	0.995681809340043	NS or Estimate < 0.25
Bak	No vs Yes	0.663716901154752	0.404466276941904	0.995681809340043	NS or Estimate < 0.25
EGFR	No vs Yes	0.39102920186429	0.298055591156765	0.995681809340043	NS or Estimate < 0.25
CD14	No vs Yes	0.393308658015503	0.342035762799418	0.995681809340043	NS or Estimate < 0.25
Bcl6	No vs Yes	0.0958488160741775	0.669519192707189	0.995681809340043	NS or Estimate < 0.25
Dihydrofolate reductase (DHFR)	No vs Yes	0.714736245304143	0.232777450699008	0.995681809340043	NS or Estimate < 0.25
PRAS40	No vs Yes	0.165177905697958	0.51345275479247	0.995681809340043	NS or Estimate < 0.25
CD3 epsilon	No vs Yes	0.18596239741481	0.748510484434612	0.995681809340043	NS or Estimate < 0.25
FBP2	No vs Yes	0.0997350168725232	0.602492328766706	0.995681809340043	NS or Estimate < 0.25
Integrin beta 1	No vs Yes	-0.0540083611952237	0.864491102856136	0.995681809340043	NS or Estimate < 0.25
HMGB1	No vs Yes	0.366210523527055	0.568637135739426	0.995681809340043	NS or Estimate < 0.25
NKG2A + NKG2E + NKG2C	No vs Yes	0.118024762048114	0.673510101455192	0.995681809340043	NS or Estimate < 0.25
KIR2DL3	No vs Yes	-0.0129382093458606	0.969593493125578	0.995681809340043	NS or Estimate < 0.25
TIM 3	No vs Yes	0.389648428604654	0.193865215738086	0.995681809340043	NS or Estimate < 0.25
HuR / ELAVL1	No vs Yes	0.296465188572055	0.434263754703667	0.995681809340043	NS or Estimate < 0.25
ERK1 (phospho T202 + Y204) + ERK2 (phospho T185 + Y187)	No vs Yes	0.117374354434377	0.841973657907509	0.995681809340043	NS or Estimate < 0.25
IL-18	No vs Yes	0.135721776729634	0.665949107169081	0.995681809340043	NS or Estimate < 0.25
CD28	No vs Yes	0.10207167137768	0.651796451624855	0.995681809340043	NS or Estimate < 0.25
CCR6	No vs Yes	0.738418645364176	0.167172819340785	0.995681809340043	NS or Estimate < 0.25
KMT6/EZH2 (phospho T487)	No vs Yes	0.150500771946542	0.76949842478547	0.995681809340043	NS or Estimate < 0.25
CD103	No vs Yes	0.158030939798471	0.50418186007516	0.995681809340043	NS or Estimate < 0.25
ICAM1	No vs Yes	0.151802976720957	0.574873492231038	0.995681809340043	NS or Estimate < 0.25
CD83	No vs Yes	0.106335168028676	0.663388333957463	0.995681809340043	NS or Estimate < 0.25
APC	No vs Yes	0.074047141148073	0.785035509623984	0.995681809340043	NS or Estimate < 0.25
Adenosine Receptor A2a	No vs Yes	0.28002243634896	0.43147322795334	0.995681809340043	NS or Estimate < 0.25
Rb (phospho S608)	No vs Yes	0.273640187990866	0.430413037160634	0.995681809340043	NS or Estimate < 0.25
PRAME	No vs Yes	0.102068014703313	0.682731910177416	0.995681809340043	NS or Estimate < 0.25
GNLY/Granulysin	No vs Yes	0.0877955380032085	0.740528930236508	0.995681809340043	NS or Estimate < 0.25
STAT3	No vs Yes	0.249243296782205	0.488256550253555	0.995681809340043	NS or Estimate < 0.25
Syk	No vs Yes	0.224823360732634	0.475383398906982	0.995681809340043	NS or Estimate < 0.25
Melanoma gp100	No vs Yes	0.146495329498289	0.531714348797698	0.995681809340043	NS or Estimate < 0.25
S100A9	No vs Yes	0.875995695392534	0.222542097370038	0.995681809340043	NS or Estimate < 0.25
VCAM1	No vs Yes	0.365781427842481	0.284378599346526	0.995681809340043	NS or Estimate < 0.25
Met (c-Met)	No vs Yes	-0.0259331543492836	0.944723570942656	0.995681809340043	NS or Estimate < 0.25
Scavenging Receptor SR-BI	No vs Yes	0.0661429105447743	0.815518731489106	0.995681809340043	NS or Estimate < 0.25
PD-L2	No vs Yes	0.0278678824495693	0.90638577312387	0.995681809340043	NS or Estimate < 0.25
PAK1	No vs Yes	0.144066690666105	0.666837397053866	0.995681809340043	NS or Estimate < 0.25
Wee1 (phospho S642)	No vs Yes	0.107496872750607	0.682400818979787	0.995681809340043	NS or Estimate < 0.25
S100A4	No vs Yes	0.28470672490421	0.636386671548201	0.995681809340043	NS or Estimate < 0.25
CD63	No vs Yes	0.150351919332414	0.774268948471277	0.995681809340043	NS or Estimate < 0.25
MSH6	No vs Yes	0.0241823519431785	0.957204661410387	0.995681809340043	NS or Estimate < 0.25
Rb (phospho T780)	No vs Yes	0.0846672738170865	0.844274410211992	0.995681809340043	NS or Estimate < 0.25
Tuberin (phospho S1254)	No vs Yes	0.558561917552982	0.292292752362278	0.995681809340043	NS or Estimate < 0.25
CD40	No vs Yes	0.501443024648304	0.362496292652207	0.995681809340043	NS or Estimate < 0.25
CD177	No vs Yes	0.130326837860415	0.632088099377284	0.995681809340043	NS or Estimate < 0.25
AKT3 + AKT2 + AKT1	No vs Yes	0.19594097861835	0.680692672638818	0.995681809340043	NS or Estimate < 0.25
CXCR5	No vs Yes	0.261338038401047	0.388326712907385	0.995681809340043	NS or Estimate < 0.25
Bid	No vs Yes	0.233823186235849	0.515680442426773	0.995681809340043	NS or Estimate < 0.25
PF4	No vs Yes	0.267506754478879	0.26671032183841	0.995681809340043	NS or Estimate < 0.25
Sumo 1	No vs Yes	0.098628476418042	0.770691785926078	0.995681809340043	NS or Estimate < 0.25
PLCG 2	No vs Yes	0.2748875118904	0.426791746858321	0.995681809340043	NS or Estimate < 0.25
STAT3 (phospho Y705)	No vs Yes	0.264589118884557	0.420569076027389	0.995681809340043	NS or Estimate < 0.25
Cyclin D1	No vs Yes	0.130684242767656	0.612443201308563	0.995681809340043	NS or Estimate < 0.25
p27 KIP 1	No vs Yes	0.440016207699439	0.526162566929603	0.995681809340043	NS or Estimate < 0.25
IL-2 Receptor alpha	No vs Yes	0.0842512181208461	0.716002194497013	0.995681809340043	NS or Estimate < 0.25
DUSP6	No vs Yes	0.0693464822952364	0.744134829178207	0.995681809340043	NS or Estimate < 0.25
Catalase	No vs Yes	0.588721944608888	0.283670376673809	0.995681809340043	NS or Estimate < 0.25
Interferon gamma	No vs Yes	0.130090699552434	0.506381836351237	0.995681809340043	NS or Estimate < 0.25
IKK alpha	No vs Yes	0.281775723710255	0.49565077977424	0.995681809340043	NS or Estimate < 0.25
LAG-3	No vs Yes	0.533885582452509	0.0889721956037862	0.995681809340043	NS or Estimate < 0.25
LEF1	No vs Yes	0.044100252031434	0.885792341604842	0.995681809340043	NS or Estimate < 0.25
CREB	No vs Yes	0.170717450633042	0.679711259787509	0.995681809340043	NS or Estimate < 0.25
CD11a	No vs Yes	0.164495214407236	0.631424468992328	0.995681809340043	NS or Estimate < 0.25
Glucose 6 Phosphate Dehydrogenase	No vs Yes	-0.118665554137492	0.783619076533726	0.995681809340043	NS or Estimate < 0.25
CD94	No vs Yes	0.17171895640435	0.465390962657682	0.995681809340043	NS or Estimate < 0.25
HMGB2	No vs Yes	0.432969072221022	0.417844553992791	0.995681809340043	NS or Estimate < 0.25
IKK beta	No vs Yes	0.147845514593569	0.531483236671419	0.995681809340043	NS or Estimate < 0.25
HLA-DR	No vs Yes	1.52984576060802	0.0559637148761715	0.995681809340043	NS or Estimate < 0.25
c-Kit	No vs Yes	0.131895358096034	0.638110928151607	0.995681809340043	NS or Estimate < 0.25
LC3B	No vs Yes	0.0339277280889755	0.906897089298556	0.995681809340043	NS or Estimate < 0.25
c-Jun (phospho S63)	No vs Yes	0.0582480799244495	0.801072430395099	0.995681809340043	NS or Estimate < 0.25
JAK3	No vs Yes	0.06970437897966	0.726870982373005	0.995681809340043	NS or Estimate < 0.25
ETS1	No vs Yes	0.215287750340383	0.435498919586149	0.995681809340043	NS or Estimate < 0.25
Histone H3 (di methyl K4)	No vs Yes	0.46363136454261	0.375022048617866	0.995681809340043	NS or Estimate < 0.25
HIF-1 alpha	No vs Yes	0.661120775449332	8.253907865883e-07	0.000478726656221214	FDR < 0.001
HLA A	No vs Yes	0.949631871103107	0.318350119445311	0.995681809340043	NS or Estimate < 0.25
Fatty Acid Synthase	No vs Yes	-0.189037672475997	0.797741949615286	0.995681809340043	NS or Estimate < 0.25
p38 beta/MAPK11 + p38 alpha/MAPK14	No vs Yes	0.0995201675011666	0.605133137854225	0.995681809340043	NS or Estimate < 0.25
FADD	No vs Yes	0.109765323988696	0.703830768661079	0.995681809340043	NS or Estimate < 0.25
Integrin alpha 5	No vs Yes	-0.203460204946053	0.700968418224624	0.995681809340043	NS or Estimate < 0.25
Fos B	No vs Yes	0.0683568000224789	0.804561499392752	0.995681809340043	NS or Estimate < 0.25
CD11b	No vs Yes	0.155982797431567	0.466742847042306	0.995681809340043	NS or Estimate < 0.25
HDAC6	No vs Yes	0.361978567072862	0.401351219949293	0.995681809340043	NS or Estimate < 0.25
CD11c	No vs Yes	0.370244030017686	0.251995943908924	0.995681809340043	NS or Estimate < 0.25
TAK1	No vs Yes	0.189911324205689	0.380539964522841	0.995681809340043	NS or Estimate < 0.25
Hexokinase II	No vs Yes	0.009381669069421	0.956233400665718	0.995681809340043	NS or Estimate < 0.25
Histone H3 (tri methyl K9)	No vs Yes	1.05943085673488	0.0194077778804855	0.995681809340043	P < 0.05
Histone H3 (mono methyl K4)	No vs Yes	0.826499208077273	0.0326598162028711	0.995681809340043	P < 0.05
Cytokeratin 17	No vs Yes	0.158599522212648	0.42497160799528	0.995681809340043	NS or Estimate < 0.25
Dnmt1	No vs Yes	0.0980732934063509	0.69119255631583	0.995681809340043	NS or Estimate < 0.25
VEGF Receptor 1	No vs Yes	-0.280652343013397	0.538373537577112	0.995681809340043	NS or Estimate < 0.25
p27 KIP 1 (phospho S10)	No vs Yes	0.184125362820432	0.609209771511417	0.995681809340043	NS or Estimate < 0.25
ERK1 (phospho T202) + ERK2 (phospho T185)	No vs Yes	0.0857772398308731	0.679682280578361	0.995681809340043	NS or Estimate < 0.25
Smac/Diablo	No vs Yes	0.208234178853765	0.601772430016524	0.995681809340043	NS or Estimate < 0.25
Cytokeratin 14	No vs Yes	0.0832046487372666	0.707348782160452	0.995681809340043	NS or Estimate < 0.25
Cdk4	No vs Yes	0.219815235239524	0.481395290713254	0.995681809340043	NS or Estimate < 0.25
Cytokeratin 8	No vs Yes	-0.278197776656489	0.655043337821925	0.995681809340043	NS or Estimate < 0.25
Histone H3 (tri methyl K27)	No vs Yes	0.0410223535075109	0.841920765960793	0.995681809340043	NS or Estimate < 0.25
Lck	No vs Yes	0.169896962089286	0.718808395582879	0.995681809340043	NS or Estimate < 0.25
MEK2	No vs Yes	0.192694187084996	0.758251465854047	0.995681809340043	NS or Estimate < 0.25
MEK1	No vs Yes	0.0397259889538179	0.938510611380643	0.995681809340043	NS or Estimate < 0.25
Cytokeratin 19	No vs Yes	-0.344973773810912	0.69648765744839	0.995681809340043	NS or Estimate < 0.25
HDAC2	No vs Yes	0.0493686326531123	0.941946026448348	0.995681809340043	NS or Estimate < 0.25
GLP-1	No vs Yes	0.011577376423488	0.95576892632618	0.995681809340043	NS or Estimate < 0.25
IGF2BP1/IMP1	No vs Yes	0.120623578274905	0.598480255458225	0.995681809340043	NS or Estimate < 0.25
Hexokinase 1	No vs Yes	0.174845827742082	0.693512790656959	0.995681809340043	NS or Estimate < 0.25
MEKK3	No vs Yes	0.178608912535	0.481313402853198	0.995681809340043	NS or Estimate < 0.25
Histone H3 (acetyl K14)	No vs Yes	0.935802575249391	0.079809495375658	0.995681809340043	NS or Estimate < 0.25
IRF3	No vs Yes	0.265105297608939	0.680055583294325	0.995681809340043	NS or Estimate < 0.25
HDAC1	No vs Yes	0.148077724418357	0.521720402068347	0.995681809340043	NS or Estimate < 0.25
GSK3 beta (phospho S9)	No vs Yes	0.052178971520698	0.819772495630899	0.995681809340043	NS or Estimate < 0.25
GRP78 BiP	No vs Yes	0.109286879288926	0.601808927184778	0.995681809340043	NS or Estimate < 0.25
IDH2	No vs Yes	-0.0951164264253115	0.88730511234607	0.995681809340043	NS or Estimate < 0.25
M-CSF	No vs Yes	0.055119519150759	0.885593068759949	0.995681809340043	NS or Estimate < 0.25
Cyclin E2	No vs Yes	0.103827708537803	0.621610397395592	0.995681809340043	NS or Estimate < 0.25
c-Maf	No vs Yes	0.120486423012862	0.549055466459468	0.995681809340043	NS or Estimate < 0.25
Cullin 1/CUL-1	No vs Yes	0.0496912099206724	0.852424559594577	0.995681809340043	NS or Estimate < 0.25
IL-12A	No vs Yes	0.150468542186996	0.602033142822404	0.995681809340043	NS or Estimate < 0.25
Heme Oxygenase 1	No vs Yes	0.391536465067278	0.494861881792224	0.995681809340043	NS or Estimate < 0.25
PSMA	No vs Yes	0.12035098759858	0.847846305792104	0.995681809340043	NS or Estimate < 0.25
IKK gamma/NEMO	No vs Yes	-0.072109656331539	0.794014350066953	0.995681809340043	NS or Estimate < 0.25
CPT1A	No vs Yes	0.11058516903452	0.693047632256286	0.995681809340043	NS or Estimate < 0.25
Cdk6	No vs Yes	0.694740525666596	0.154726136483813	0.995681809340043	NS or Estimate < 0.25
Histone H3 (acetyl K9)	No vs Yes	1.17355718812501	0.100924411897414	0.995681809340043	NS or Estimate < 0.25
MEK1 (phospho S298)	No vs Yes	0.326207351225427	0.250938413887314	0.995681809340043	NS or Estimate < 0.25
JNK1 + JNK2 + JNK3 (phospho T183+T183+T221)	No vs Yes	0.218926095942885	0.348289054325426	0.995681809340043	NS or Estimate < 0.25
IFNGR1	No vs Yes	0.363984181975223	0.136915797962666	0.995681809340043	NS or Estimate < 0.25
IRF5	No vs Yes	0.0766671848663229	0.729087299591383	0.995681809340043	NS or Estimate < 0.25
Cytokeratin 5	No vs Yes	-0.224170350625413	0.772766911810989	0.995681809340043	NS or Estimate < 0.25
CD79a	No vs Yes	0.243907482455741	0.398424838564832	0.995681809340043	NS or Estimate < 0.25
Granzyme B	No vs Yes	0.075067897700892	0.766544846259669	0.995681809340043	NS or Estimate < 0.25
ERG	No vs Yes	0.240544725098926	0.532345651040346	0.995681809340043	NS or Estimate < 0.25
ICOS	No vs Yes	0.243072127762589	0.405282298190825	0.995681809340043	NS or Estimate < 0.25
HDAC9	No vs Yes	0.335553979886363	0.4112819917678	0.995681809340043	NS or Estimate < 0.25
Cyclin A2	No vs Yes	0.084536999087668	0.712151000894327	0.995681809340043	NS or Estimate < 0.25
ALDH1A1	No vs Yes	0.279883701647213	0.343351110627044	0.995681809340043	NS or Estimate < 0.25
5 Lipoxygenase/5-LO	No vs Yes	0.0167149625076428	0.963326211007203	0.995681809340043	NS or Estimate < 0.25
ATG12	No vs Yes	0.0446721127981103	0.90907047483686	0.995681809340043	NS or Estimate < 0.25
RSK1 p90 (phospho T359)	No vs Yes	0.13506922009428	0.766248758216748	0.995681809340043	NS or Estimate < 0.25
p38 (phospho T180)	No vs Yes	0.108187267068586	0.818331864559431	0.995681809340043	NS or Estimate < 0.25
beta Arrestin 1	No vs Yes	-0.0162961553916302	0.966631700155518	0.995681809340043	NS or Estimate < 0.25
ATR (phospho S428)	No vs Yes	0.119682049880092	0.710089056225931	0.995681809340043	NS or Estimate < 0.25
ARID3A	No vs Yes	0.297147928442701	0.280736419795322	0.995681809340043	NS or Estimate < 0.25
CREB (phospho S133)	No vs Yes	0.0800621925765218	0.917876552157765	0.995681809340043	NS or Estimate < 0.25
LAMP2A	No vs Yes	0.34618872376743	0.442586215948429	0.995681809340043	NS or Estimate < 0.25
15-PGDH	No vs Yes	-0.245092470895429	0.55891095614793	0.995681809340043	NS or Estimate < 0.25
Smad3 (phospho S423 + S425)	No vs Yes	0.0125906767458702	0.976604641617058	0.995681809340043	NS or Estimate < 0.25
Pro Caspase-8	No vs Yes	0.122388913498467	0.672295365852774	0.995681809340043	NS or Estimate < 0.25
Aurora A	No vs Yes	0.0354230636956353	0.924888290510104	0.995681809340043	NS or Estimate < 0.25
Caspase-10/CASP-10	No vs Yes	0.266638276074421	0.501106199543946	0.995681809340043	NS or Estimate < 0.25
STAT2	No vs Yes	-0.0156901529773843	0.968274998861315	0.995681809340043	NS or Estimate < 0.25
Monoamine Oxidase A/MAO-A	No vs Yes	-0.00478682175380064	0.990531731015871	0.995681809340043	NS or Estimate < 0.25
Von Willebrand Factor	No vs Yes	0.15236406494996	0.738480477999023	0.995681809340043	NS or Estimate < 0.25
YAP1	No vs Yes	0.000806905683450688	0.998993765391763	0.998993765391763	NS or Estimate < 0.25
Vimentin	No vs Yes	0.755006097250743	0.33572372768136	0.995681809340043	NS or Estimate < 0.25
ATM (phospho S1981)	No vs Yes	0.248514521225836	0.582285454840672	0.995681809340043	NS or Estimate < 0.25
Beclin 1	No vs Yes	-0.201626227807541	0.56222751915716	0.995681809340043	NS or Estimate < 0.25
BFL-1/GRS	No vs Yes	-0.0231593055088406	0.954184461573836	0.995681809340043	NS or Estimate < 0.25
CCR5	No vs Yes	0.0503725827571467	0.897258602616897	0.995681809340043	NS or Estimate < 0.25
IRF4	No vs Yes	0.326747169560994	0.386556360049681	0.995681809340043	NS or Estimate < 0.25
HLA G	No vs Yes	0.222930341676979	0.625676452541331	0.995681809340043	NS or Estimate < 0.25
YAP1 (phospho S127)	No vs Yes	-0.0636527413490425	0.890767083989153	0.995681809340043	NS or Estimate < 0.25
Ki67	No vs Yes	0.193104906538044	0.521248520309541	0.995681809340043	NS or Estimate < 0.25
Argonaute-2	No vs Yes	-0.0530559270285478	0.888342651501236	0.995681809340043	NS or Estimate < 0.25
CD272/BTLA	No vs Yes	0.0132388342835259	0.973387521607154	0.995681809340043	NS or Estimate < 0.25
FOXO1A	No vs Yes	-0.071671414368254	0.86372592521417	0.995681809340043	NS or Estimate < 0.25
MEK4/MKK4 (phospho S80)	No vs Yes	0.123196230274842	0.804094898427513	0.995681809340043	NS or Estimate < 0.25
Sonic Hedgehog	No vs Yes	1.07005914626815	0.211043523538872	0.995681809340043	NS or Estimate < 0.25
MyD88	No vs Yes	0.0957185183847082	0.773742383850595	0.995681809340043	NS or Estimate < 0.25
ATM	No vs Yes	0.221367211589122	0.480324455460787	0.995681809340043	NS or Estimate < 0.25
Caspase-3 p12	No vs Yes	-0.0360510785997194	0.894954288278067	0.995681809340043	NS or Estimate < 0.25
ATF3	No vs Yes	-0.0483805531719634	0.900630142599213	0.995681809340043	NS or Estimate < 0.25
gamma H2A.X (phospho S139)	No vs Yes	0.051787483862019	0.903337129993793	0.995681809340043	NS or Estimate < 0.25
Integrin alpha 6	No vs Yes	-0.0671778028008768	0.864990741491512	0.995681809340043	NS or Estimate < 0.25
