clusters_unsup_harmony,cell_ID
0,c_1_205_1042
6,c_1_205_1043
2,c_1_205_1044
3,c_1_205_1047
0,c_1_205_1048
0,c_1_205_1049
0,c_1_205_1050
2,c_1_205_1051
1,c_1_205_1052
10,c_1_205_1054
2,c_1_205_1055
0,c_1_205_1057
0,c_1_205_1059
4,c_1_205_1062
2,c_1_205_1063
5,c_1_205_1064
3,c_1_205_1066
0,c_1_205_1067
0,c_1_205_1069
0,c_1_205_1070
2,c_1_205_1071
2,c_1_205_1073
0,c_1_205_1074
10,c_1_205_1075
0,c_1_205_1076
2,c_1_205_1078
0,c_1_205_1079
10,c_1_205_1080
0,c_1_205_1084
2,c_1_205_1086
0,c_1_205_1087
2,c_1_205_1088
5,c_1_205_1090
0,c_1_205_1091
6,c_1_205_1092
13,c_1_205_1093
1,c_1_205_1094
0,c_1_205_1095
0,c_1_205_1096
1,c_1_205_1099
2,c_1_205_1100
1,c_1_205_1101
0,c_1_205_1104
2,c_1_205_1105
5,c_1_205_1106
2,c_1_205_1107
3,c_1_205_1109
0,c_1_205_1110
0,c_1_205_1111
0,c_1_205_1112
2,c_1_205_1115
5,c_1_205_1117
1,c_1_205_1118
2,c_1_205_1119
1,c_1_205_1120
1,c_1_205_1121
2,c_1_205_1122
0,c_1_205_1123
1,c_1_205_1124
0,c_1_205_1125
1,c_1_205_1126
2,c_1_205_1127
2,c_1_205_1128
3,c_1_205_1129
5,c_1_205_1130
0,c_1_205_1132
0,c_1_205_1133
0,c_1_205_1134
2,c_1_205_1137
2,c_1_205_1138
0,c_1_205_1140
3,c_1_205_1141
10,c_1_205_1142
0,c_1_205_1144
1,c_1_205_1145
6,c_1_205_1146
2,c_1_205_1147
2,c_1_205_1148
2,c_1_205_1149
10,c_1_205_1150
0,c_1_205_1152
3,c_1_205_1153
3,c_1_205_1155
0,c_1_205_1156
5,c_1_205_1157
0,c_1_205_1158
0,c_1_205_1159
5,c_1_205_1161
2,c_1_205_1162
1,c_1_205_1163
6,c_1_205_1164
2,c_1_205_1165
3,c_1_205_1166
10,c_1_205_1167
0,c_1_205_1168
0,c_1_205_1169
0,c_1_205_1170
0,c_1_205_1171
10,c_1_205_1172
0,c_1_205_1173
2,c_1_205_1175
0,c_1_205_1176
5,c_1_205_1177
0,c_1_205_1178
3,c_1_205_1179
2,c_1_205_1180
