,cluster_id,annot_label,annot_label_with_cluster,annot_path,annot_level,annot_status,annot_stop_reason,annot_confidence,annot_score,annot_raw_score,annot_branch_supported_raw_score,annot_margin,annot_best_any_level_label,annot_best_any_level_score,annot_low_evidence,annot_low_absolute_support,annot_deeper_level_unresolved,annot_branch_conflict,annot_decision_label,annot_decision_path,annot_decision_level,annot_decision_score,annot_decision_raw_score,annot_decision_branch_supported_raw_score,annot_backoff_applied,annot_backoff_steps,annot_backoff_reason,annot_best_any_level_raw_score,annot_primary_compartment,annot_secondary_compartment,annot_primary_compartment_score,annot_secondary_compartment_score,annot_top_level_gap,annot_mixed_compartment,annot_parent_mixing,annot_mixed_primary,annot_mixed_secondary,annot_best_any_level_top_branch,annot_final_top_branch,annot_second_best_call,annot_second_best_call_score,annot_final_call_margin,annot_path_margin
11,19,Stem/TA-like,Stem_TA_like_19,Intestinal epithelial > Stem/TA-like,2,assigned,leaf_reached,high,1.2097809616875332,0.4559314025839548,0.4559314025839548,1.2179506268183131,Intestinal epithelial,3.4071115351291406,False,False,False,False,Stem/TA-like,Intestinal epithelial > Stem/TA-like,2,1.2097809616875332,0.4559314025839548,0.4559314025839548,False,0,,0.49136654626436516,Intestinal epithelial,Endothelial,3.4071115351291406,-2.2301093684481645,5.637220903577305,False,False,,,Intestinal epithelial,Intestinal epithelial,CD8 T cell,-0.008169665130779895,1.2179506268183131,
12,3,Stem/TA-like,Stem_TA_like_3,Intestinal epithelial > Stem/TA-like,2,assigned,leaf_reached,high,0.9522429673485128,0.3351936130471889,0.3351936130471889,0.9490338337598789,Intestinal epithelial,3.0632976776319154,False,False,False,False,Stem/TA-like,Intestinal epithelial > Stem/TA-like,2,0.9522429673485128,0.3351936130471889,0.3351936130471889,False,0,,0.5247632172656167,Intestinal epithelial,Endothelial,3.0632976776319154,-2.3392454992825535,5.4025431769144685,False,False,,,Intestinal epithelial,Intestinal epithelial,CD8 T cell,0.0032091335886338546,0.9490338337598789,
13,16,Fibroblast,Fibroblast_16,Fibroblast,1,assigned,leaf_reached,high,1.9174137797073898,2.10597962898756,2.10597962898756,1.5885824616420225,Fibroblast,1.6345650057871346,False,False,False,False,Fibroblast,Fibroblast,1,1.9174137797073898,2.10597962898756,2.10597962898756,False,0,,2.10597962898756,Fibroblast,Mural,1.6345650057871346,-1.6345650057871346,3.269130011574269,False,False,,,Fibroblast,Fibroblast,Monocyte,0.32883131806536725,1.5885824616420225,
14,22,Mast cell,Mast_cell_22,Immune > Mast cell,2,assigned,leaf_reached,high,11.042386667554489,2.621824818191809,2.621824818191809,10.004824987619916,Mast cell,23.673229441598508,False,False,False,False,Mast cell,Immune > Mast cell,2,11.042386667554489,2.621824818191809,2.621824818191809,False,0,,2.621824818191809,Immune,Fibroblast,0.7020124876501893,-0.6781659147653668,1.3801784024155561,False,False,,,Immune,Immune,Plasma cell,1.0375616799345737,10.004824987619916,
15,13,Absorptive-like,Absorptive_like_13,Intestinal epithelial > Absorptive-like,2,assigned,leaf_reached,high,1.2908291919027144,0.13410724526100704,0.13410724526100704,1.2709330406215282,Absorptive-like,3.025912111865275,False,False,False,False,Absorptive-like,Intestinal epithelial > Absorptive-like,2,1.2908291919027144,0.13410724526100704,0.13410724526100704,False,0,,0.13410724526100704,Intestinal epithelial,Endothelial,2.8278986899905565,-2.286103878320074,5.11400256831063,False,False,,,Intestinal epithelial,Intestinal epithelial,CD8 T cell,0.01989615128118623,1.2709330406215282,
16,1,Fibroblast,Fibroblast_1,Fibroblast,1,assigned,leaf_reached,high,2.2018140509212745,2.4592083105967593,2.4592083105967593,1.918623225770114,Fibroblast,1.8157226614080473,False,False,False,False,Fibroblast,Fibroblast,1,2.2018140509212745,2.4592083105967593,2.4592083105967593,False,0,,2.4592083105967593,Fibroblast,Mural,1.8157226614080473,-1.8157226614080473,3.6314453228160946,False,False,,,Fibroblast,Fibroblast,Pericyte,0.28319082515116056,1.918623225770114,
17,17,Unresolved,Unresolved_17,Unresolved,0,stopped_at_parent,below_absolute_support,none,,,,,Absorptive-like,4.9210909879973865,True,False,False,False,Unresolved,Unresolved,0,,,,False,0,,0.09853660771255554,Endothelial,Immune,1.4104706654718955,-1.4104706654718955,2.820941330943791,False,False,,,Intestinal epithelial,Unresolved,Absorptive-like,1.9987524134358967,,
18,21,Plasma cell,Plasma_cell_21,Immune > B cell > Plasma cell,3,assigned,leaf_reached,high,5.6131044837766115,2.3151134176027437,2.3151134176027437,5.129164632045753,Plasma cell,10.560091083037413,False,False,False,False,Plasma cell,Immune > B cell > Plasma cell,3,5.6131044837766115,2.3151134176027437,2.3151134176027437,False,0,,2.3151134176027437,Immune,Endothelial,0.09032303684324006,-0.0702512508780756,0.16057428772131566,False,False,,,Immune,Immune,Fibroblast,0.4839398517308587,5.129164632045753,
19,9,Fibroblast,Fibroblast_9,Fibroblast,1,assigned,leaf_reached,high,0.5847886083353384,0.9003777579724429,0.9003777579724429,0.4141885863869882,Treg,1.1189090276559095,False,False,False,True,Fibroblast,Fibroblast,1,0.5847886083353384,0.9003777579724429,0.9003777579724429,False,0,,0.025255618597821033,Fibroblast,Mural,0.11140488387968171,-0.11140488387968171,0.22280976775936343,False,False,,,Immune,Fibroblast,Capillary endothelial,0.17060002194835025,0.4141885863869882,
20,11,Absorptive-like,Absorptive_like_11,Intestinal epithelial > Absorptive-like,2,assigned,leaf_reached,high,3.528086214069723,0.6812846559343506,0.6812846559343506,1.171031019199975,Absorptive-like,7.7982885512727815,False,False,False,False,Absorptive-like,Intestinal epithelial > Absorptive-like,2,3.528086214069723,0.6812846559343506,0.6812846559343506,False,0,,0.6812846559343506,Intestinal epithelial,Endothelial,6.822113094589189,-4.775479166212432,11.59759226080162,False,False,,,Intestinal epithelial,Intestinal epithelial,Capillary endothelial,2.357055194869748,1.171031019199975,
21,5,Goblet-like,Goblet_like_5,Intestinal epithelial > Goblet-like,2,assigned,leaf_reached,high,6.206615325205516,1.5152591613065496,1.5152591613065496,6.173295646482478,Goblet-like,13.243649571053965,False,False,False,False,Goblet-like,Intestinal epithelial > Goblet-like,2,6.206615325205516,1.5152591613065496,1.5152591613065496,False,0,,1.5152591613065496,Intestinal epithelial,Endothelial,3.6076042551788436,-2.5253229786251903,6.132927233804034,False,False,,,Intestinal epithelial,Intestinal epithelial,Plasma cell,0.03331967872303845,6.173295646482478,
22,20,Neutrophil,Neutrophil_20,Immune > Neutrophil,2,assigned,leaf_reached,high,8.250238161575572,0.5986722719731244,0.5986722719731244,5.520201533280316,Neutrophil,19.727586995979244,False,False,False,False,Neutrophil,Immune > Neutrophil,2,8.250238161575572,0.5986722719731244,0.5986722719731244,False,0,,0.5986722719731244,Immune,Endothelial,0.33547288065677683,-0.33547288065677683,0.6709457613135537,False,False,,,Immune,Immune,Monocyte,2.730036628295256,5.520201533280316,
