cluster,cluster_expr,clusterprime_expr,gene,cluster_prop,clusterprime_prop,ncells,typ,fold_change,fold_change_prop
0,1.30000257356275,3.50507476769293,A1BG,0.76816182937555,0.693791692330177,17055,clusters_unsup,0.370891538618566,1.10719375551413
0,0.033959839036788,0.319831476805953,A2M,0.0482556435063031,0.129458926203923,17055,clusters_unsup,0.106180415311005,0.372748677293144
0,0.0957773049770831,0.102309609001952,AAAS,0.158194077982996,0.0694846071134031,17055,clusters_unsup,0.936151607961435,2.2766780234479
0,0.0595394145977814,0.0907282083540667,AAK1,0.0972148929932571,0.0627303191322776,17055,clusters_unsup,0.656239285200353,1.54972737805244
0,0.266799727183934,0.165678092592976,AAMP,0.349047200234535,0.119050850288649,17055,clusters_unsup,1.61035006504683,2.93191690263648
0,0.133685072048306,0.144445866732731,AARS1,0.196892406918792,0.0973682287480035,17055,clusters_unsup,0.925502924190026,2.02214222699239
0,0.0253175372131434,0.049736863576475,AASS,0.0444444444444444,0.0321115762441148,17055,clusters_unsup,0.509029628983648,1.38406299667678
0,0.0322971985216617,0.0408700803916248,AATK,0.0573438874230431,0.0257644246327943,17055,clusters_unsup,0.790240640884085,2.22570029179122
0,0.026681151732208,0.0451419289494191,ABAT,0.0444444444444444,0.0287709701328935,17055,clusters_unsup,0.591050324014817,1.54476697306886
0,0.0421587112751034,0.0703261106305207,ABCA1,0.0662562298446203,0.046100364334854,17055,clusters_unsup,0.599474518029255,1.4372170545847
0,0.0496247328507447,0.0433943527909782,ABCA2,0.0881266490765172,0.0325709095844077,17055,clusters_unsup,1.14357582632415,2.70568584669508
0,0.0559259390219627,0.083043707542122,ABCA5,0.0881266490765172,0.0585963190696412,17055,clusters_unsup,0.673451856585227,1.50396220233185
0,0.040124375652437,0.0788093428199112,ABCB1,0.0647317502198769,0.0466432128279275,17055,clusters_unsup,0.509132219819749,1.38780642016836
0,0.119550063282639,0.106449237313715,ABCB10,0.183992963940194,0.0733054253531125,17055,clusters_unsup,1.12307111163526,2.50995015790303
0,0.0525182932357459,0.0445195390871882,ABCB7,0.0914687774846086,0.0331763944420666,17055,clusters_unsup,1.17966839532846,2.75704394714542
0,0.100031065192586,0.0751617629304737,ABCB8,0.15842861330988,0.0556732887223226,17055,clusters_unsup,1.33087704828207,2.84568447357335
0,0.0719288592887737,0.0695272245750508,ABCB9,0.115039577836412,0.0457767431178294,17055,clusters_unsup,1.03454236420915,2.51305728632331
0,0.104235321560004,0.0757805083640338,ABCC1,0.165054236294342,0.0557672432692007,17055,clusters_unsup,1.37548986949625,2.95969868005827
0,0.367008713823343,0.195194435745753,ABCC3,0.423453532688361,0.14195488093871,17055,clusters_unsup,1.88022118776676,2.98301495438673
0,0.0865228632662162,0.107057186489431,ABCC4,0.137144532395192,0.0690252737731102,17055,clusters_unsup,0.808192949053055,1.98687415345854
0,0.0444520956449176,0.0625359643656873,ABCC8,0.0786279683377309,0.0368823793467027,17055,clusters_unsup,0.71082450068217,2.13185726437577
0,0.0332882629980238,0.046100710543005,ABCC9,0.0503664614482556,0.0284264701276738,17055,clusters_unsup,0.722077005016462,1.77181553749168
0,0.118451943078299,0.124766468667168,ABCD1,0.1753151568455,0.0690565919554029,17055,clusters_unsup,0.949389241706324,2.53871718660428
0,0.117903860528803,0.0958857210790406,ABCE1,0.182175315156846,0.0675324404171582,17055,clusters_unsup,1.22962897084136,2.69759709602557
0,0.0812557463787818,0.116903207020657,ABCG1,0.121547933157432,0.0766982284348216,17055,clusters_unsup,0.695068582373656,1.5847554192301
0,0.113709059795572,0.0796458511380213,ABHD12,0.186924655526239,0.0630956979256924,17055,clusters_unsup,1.42768340310058,2.96255785531336
0,0.189676157658544,0.214959510769651,ABHD2,0.259806508355321,0.142372456702613,17055,clusters_unsup,0.882380858513396,1.82483687064559
0,0.0922797885486763,0.0848993622400279,ABHD3,0.145060099677514,0.06546544038584,17055,clusters_unsup,1.08693146937644,2.21582714211589
0,0.0869182512292435,0.100328211127558,ABHD5,0.142538844913515,0.0664154252487186,17055,clusters_unsup,0.866339090993411,2.14617077854614
0,0.0559523395673883,0.0674835747765815,ABHD6,0.0895924948695397,0.046726727980708,17055,clusters_unsup,0.829125305715209,1.91737146471137
0,0.331706723637444,0.25378210589351,ABI1,0.398768689533861,0.162416093369941,17055,clusters_unsup,1.30705323950867,2.45522892011429
0,0.0659181793384127,0.0537411483991492,ABI2,0.108941659337438,0.0394504702947041,17055,clusters_unsup,1.22658672734013,2.76147935686491
0,0.0328611995464755,0.0722966545507918,ABI3BP,0.0524186455584873,0.0398680460586068,17055,clusters_unsup,0.454532782334885,1.31480347648417
0,0.101989736922046,0.0873496787442568,ABL1,0.168924069187921,0.0664467434310113,17055,clusters_unsup,1.16760288518808,2.5422475273496
0,0.0585214275247959,0.0718039281698047,ABL2,0.0983875696276752,0.0489294401352946,17055,clusters_unsup,0.815017075199594,2.01080513808505
0,0.216498610445106,0.103130379059553,ABLIM1,0.296218117854002,0.0815734254783853,17055,clusters_unsup,2.09927096573636,3.63130659423505
0,0.247699385343149,0.137023169903298,ABR,0.328056288478452,0.110250441064401,17055,clusters_unsup,1.8077189829863,2.97555533847547
0,0.0587011661704612,0.056505719630438,ABRAXAS1,0.0884784520668426,0.0369554551053857,17055,clusters_unsup,1.03885352764963,2.39419192145054
0,0.060734652204201,0.0693536972247293,ABRAXAS2,0.101905599530929,0.0462256370640248,17055,clusters_unsup,0.875723351956281,2.20452558370986
0,0.196590145445047,0.2008980105818,ACAA1,0.274875403107593,0.136693426313537,17055,clusters_unsup,0.978556954724055,2.01088970055594
0,0.107143346558966,0.0994968743385505,ACAA2,0.169744942832014,0.0735142132350638,17055,clusters_unsup,1.07685138122427,2.30900849457845
0,0.136179633174026,0.0842219072648463,ACACA,0.204807974201114,0.0569468948022257,17055,clusters_unsup,1.61691461991941,3.59647308097139
0,0.0476702500312809,0.0824218822856181,ACACB,0.0782761653474054,0.0517793947239302,17055,clusters_unsup,0.57836885920766,1.51172422475672
0,0.108192566035948,0.0864140018950013,ACAD9,0.174435649369686,0.0657577434205719,17055,clusters_unsup,1.25202587154116,2.6527012682603
0,0.0563425790949267,0.0734461531419458,ACADM,0.0910583406625623,0.0487937280120262,17055,clusters_unsup,0.767127707642307,1.86618945451594
0,0.0772341184162738,0.0770356495268942,ACADS,0.121372031662269,0.0578342433005188,17055,clusters_unsup,1.00257632525459,2.09861882400008
0,0.218624099737201,0.284933078817521,ACADVL,0.304778657285254,0.189579396811809,17055,clusters_unsup,0.767282270786167,1.60765706828258
0,0.106617721366177,0.106820111396608,ACAP2,0.167692758721782,0.0783058951258469,17055,clusters_unsup,0.998105319047279,2.14150873893058
0,0.0954564911976104,0.0959129710573489,ACAP3,0.157197302843741,0.0672296979883288,17055,clusters_unsup,0.995240686898693,2.33821224172434
0,0.132365595568589,0.0964461158722822,ACAT1,0.197361477572559,0.0719587435145264,17055,clusters_unsup,1.37243054706187,2.74270322039069
0,0.0341955476726219,0.0215783895668759,ACAT2,0.0629727352682498,0.0189892578634736,17055,clusters_unsup,1.58471268519102,3.31622940301315
0,0.142797596038854,0.0919682663498982,ACBD5,0.217883318674875,0.06859725861511,17055,clusters_unsup,1.55268335162014,3.1762686013065
0,0.175944758104922,0.140831455027742,ACBD6,0.249076517150396,0.090707895313756,17055,clusters_unsup,1.24932855426555,2.74591882315037
0,0.0873668638114352,0.107406560442368,ACD,0.133157431838171,0.0639517282416928,17055,clusters_unsup,0.813422042858494,2.08215533026611
0,0.126686453759104,0.097392082529558,ACE,0.184227499267077,0.069703834389452,17055,clusters_unsup,1.3007880155007,2.64300380145164
0,0.146130403334917,0.0715443266859502,ACE2,0.207211961301671,0.0549529705295905,17055,clusters_unsup,2.04251559982344,3.77071447284354
0,0.0485806856956513,0.0526987310150576,ACER2,0.0826150688947523,0.0345230762806527,17055,clusters_unsup,0.921856840950691,2.39303902766774
0,0.0569086877674407,0.0584841523061701,ACER3,0.0927000879507476,0.0406614400100218,17055,clusters_unsup,0.973061684634127,2.27980336967652
0,0.0413770092082231,0.0691508009672719,ACHE,0.0711814717091762,0.0455261976594878,17055,clusters_unsup,0.598359073639743,1.56352771302309
0,0.237824248791157,0.235764692080582,ACIN1,0.327235414834359,0.16194632063555,17055,clusters_unsup,1.00873564524187,2.02064124427242
0,0.0271974410701003,0.0603355682960881,ACKR1,0.0490178833186749,0.0288649246797716,17055,clusters_unsup,0.450769617957898,1.69818157720766
0,0.0491647874113488,0.114966625066048,ACKR3,0.07856933450601,0.0649539100750592,17055,clusters_unsup,0.427644000013949,1.2096167022927
0,0.024632691567849,0.0344541761125243,ACKR4,0.0444444444444444,0.0221523942750363,17055,clusters_unsup,0.714940664591742,2.00630432506022
