cluster,cluster_expr,clusterprime_expr,gene,cluster_prop,clusterprime_prop,ncells,typ,fold_change,fold_change_prop
epithelial,1.97329140854221,3.97045795721086,A1BG,0.768381864113815,0.662817483756645,45126,celltype,0.496993402224159,1.15926613727638
epithelial,0.0385022768970041,0.435302839666825,A2M,0.0450737933785401,0.16523922031896,45126,celltype,0.0884494043881572,0.272779024807394
epithelial,0.0885475202864226,0.109835001356247,AAAS,0.124163453441475,0.0553898405197874,45126,celltype,0.806186727300352,2.24162865024172
epithelial,0.0750388691039921,0.093328211979073,AAK1,0.0952001063688339,0.0497784997046663,45126,celltype,0.804032001821894,1.91247440026622
epithelial,0.22950554405056,0.14861299961415,AAMP,0.271883171564065,0.0751329001772002,45126,celltype,1.54431674649213,3.61869661523555
epithelial,0.13593503270076,0.147407097435387,AARS1,0.17140894384612,0.07309509746013,45126,celltype,0.922174271563442,2.34501286409277
epithelial,0.0265296898732024,0.059051324731337,AASS,0.0374728537871737,0.0316450088600118,45126,celltype,0.44926494018387,1.18416316307392
epithelial,0.0297216676117638,0.0461399087261165,AATK,0.0439436245180162,0.0216036621382162,45126,celltype,0.644163988017178,2.03408219573483
epithelial,0.0349174091241051,0.0473058853315454,ABAT,0.044054425386695,0.0225339633786178,45126,celltype,0.738119768383678,1.95502338609894
epithelial,0.039144491120014,0.0840104987879995,ABCA1,0.052253689668927,0.0470761961015948,45126,celltype,0.465947609938552,1.10998113688198
epithelial,0.0468912873341736,0.0426332255571195,ABCA2,0.0705358330009307,0.0212640283520378,45126,celltype,1.09987660378521,3.31714347973821
epithelial,0.105299913838186,0.0613835317088748,ABCA5,0.112086158755485,0.0303898405197874,45126,celltype,1.71544241438558,3.68827729393655
epithelial,0.0783554715561994,0.0693691372618041,ABCB1,0.072375127420999,0.0340519787359716,45126,celltype,1.12954369405634,2.12543088852994
epithelial,0.114973231137895,0.104068564566965,ABCB10,0.147963480033683,0.0514323685764914,45126,celltype,1.10478348208515,2.87685525922511
epithelial,0.0498346752830614,0.0429921899440794,ABCB7,0.0718432832513407,0.0220909627879504,45126,celltype,1.15915647348698,3.25215718033475
epithelial,0.085047831329288,0.074837297890831,ABCB8,0.120928068076054,0.0380685174246899,45126,celltype,1.1364364257693,3.17658990306841
