cell_ID,best_class_tmajor,best_score_tmajor,cd8t,cd4t,celltype_thresh,celltype_granular,best_score_granular,best_score_thresh,best_class_t4minor,best_score_t4minor,cd4_naive,cd4_tem,cd4_tcm,cd4_th1,cd4_th2,cd4_th17,cd4_treg,best_class_t8minor,best_score_t8minor,cd8_naive,cd8_tem,cd8_tcm,cd8_cytotoxic,cd8_exhausted
c_1_12_1014,cd8t,0.99999990380165,0.99999990380165,9.61983501965002e-08,cd8t,cd8_exhausted,0.469196288616397,0.99999990380165,cd4_tem,7.40864819719135e-08,1.25111558840713e-10,7.40864819719135e-08,1.19510113454409e-11,2.12954341285546e-08,4.02936261633401e-15,7.19748671033822e-13,6.78647747812262e-10,cd8_exhausted,0.469196288616397,6.01187138587718e-05,0.186034712672214,2.51462848918127e-12,0.344708783796666,0.469196288616397
c_1_12_1066,cd4t,0.67515574703316,0.32484425296684,0.67515574703316,tmajor,cd4_th1,0.335226472930397,0.67515574703316,cd4_th1,0.335226472930397,7.83605842767061e-05,0.244335823664097,0.000186780640146871,0.335226472930397,0.00604021885636585,0.0115803823470107,0.0777077080108663,cd8_cytotoxic,0.164935841927152,3.83379203748121e-06,0.131104273663651,1.21077521502227e-11,0.164935841927152,0.028800303571892
c_1_12_1091,cd4t,0.998824396423046,0.00117560357695376,0.998824396423046,cd4_th2,cd4_th2,0.968319476760156,0.968319476760156,cd4_th2,0.968319476760156,0.00115200148046789,7.84142664011489e-05,0.011488139101481,0.0096954131263346,0.968319476760156,2.28691031313158e-11,0.00809095166533704,cd8_tcm,0.000591282016157457,0.000448916240904045,2.33617442632585e-08,0.000591282016157457,0.000135293727645552,8.82305024415832e-08
c_1_12_1175,cd8t,0.999998636877368,0.999998636877368,1.36312263226819e-06,cd8_cytotoxic,cd8_cytotoxic,0.877777684986445,0.877777684986445,cd4_treg,1.26244595129575e-06,3.58863820008313e-09,1.40569682613673e-11,5.8921686865197e-10,6.06010436549815e-08,3.04926241841751e-08,5.39110109629099e-09,1.26244595129575e-06,cd8_cytotoxic,0.877777684986445,2.31942512692802e-06,3.86844420875738e-07,9.24757734869393e-09,0.877777684986445,0.122218236373797
c_1_12_1270,cd8t,0.99999893906172,0.99999893906172,1.06093828007117e-06,cd8t,cd8_tem,0.588241688454986,0.99999893906172,cd4_th1,6.09474032668425e-07,1.21347058471701e-09,2.24547931330181e-07,9.4123771892199e-10,6.09474032668425e-07,7.48670341684475e-10,1.94003482720921e-07,3.00094547063152e-08,cd8_tem,0.588241688454986,1.16207608047172e-05,0.588241688454986,1.61947616052087e-14,0.234251484980812,0.177494144865101
c_1_12_1286,cd4t,0.998101307372607,0.00189869262739294,0.998101307372607,cd4_treg,cd4_treg,0.990997950847056,0.990997950847056,cd4_treg,0.990997950847056,1.28930973993078e-06,8.62213374208099e-08,1.65347945046385e-08,1.0186258086947e-08,0.00709411085272156,7.84342069921374e-06,0.990997950847056,cd8_exhausted,0.00187651260051108,1.18368033536323e-06,1.78204015647337e-06,1.65660786440324e-07,1.90486456035764e-05,0.00187651260051108
c_1_12_1325,cd4t,0.998438778176942,0.00156122182305827,0.998438778176942,cd4t,cd4_tcm,0.464757611723538,0.998438778176942,cd4_tcm,0.464757611723538,0.167704012386023,0.0122603446405013,0.464757611723538,0.000731358353858909,0.250844885441953,0.0953371037435143,0.00680346188755198,cd8_naive,0.000977006872745218,0.000977006872745218,2.50760030643492e-05,0.000376860802851988,5.27020061119842e-05,0.000129576138284735
c_1_12_1346,cd4t,0.998239464461524,0.00176053553847662,0.998239464461524,cd4_treg,cd4_treg,0.829855748028143,0.829855748028143,cd4_treg,0.829855748028143,3.00230015692733e-07,0.158177350469267,0.0102060657269959,6.92305995693198e-14,1.4917747478495e-13,6.88297375139664e-12,0.829855748028143,cd8_exhausted,0.0017514060463729,1.01956175614101e-06,1.78978091763853e-07,1.00143906133738e-07,7.83080834967647e-06,0.0017514060463729
c_1_12_1349,cd8t,0.999981383520099,0.999981383520099,1.86164799014781e-05,cd8t,cd8_tem,0.393983469673035,0.999981383520099,cd4_treg,1.0929549241193e-05,4.48602532186693e-09,8.8738034625005e-09,6.00953140059944e-08,8.60193718994873e-07,6.61433048790466e-06,1.38951310595224e-07,1.0929549241193e-05,cd8_tem,0.393983469673035,0.000227956410869833,0.393983469673035,1.16989057574654e-06,0.235498979508861,0.370269808036757
c_1_12_1394,cd8t,0.999999985619256,0.999999985619256,1.43807438916435e-08,cd8_cytotoxic,cd8_cytotoxic,0.958728257911665,0.958728257911665,cd4_treg,6.98584481201452e-09,1.27344285146035e-10,5.95751167997195e-09,1.84491806486154e-10,1.37804662379604e-10,9.65885204554798e-10,2.18614410904662e-11,6.98584481201452e-09,cd8_cytotoxic,0.958728257911665,5.25592099439684e-06,0.0369654312753348,7.79259177916513e-09,0.958728257911665,0.00430103271867076
c_1_12_166,cd4t,0.99958032912357,0.000419670876430008,0.99958032912357,cd4t,cd4_tem,0.445499716490555,0.99958032912357,cd4_tem,0.445499716490555,0.146910190538746,0.445499716490555,0.00523439998747293,0.000259799231137805,0.0388914919184542,0.117326644764633,0.245458086192569,cd8_exhausted,0.000404747333535945,2.16081813061626e-08,5.22831101765891e-08,1.0575141923646e-08,1.48390764606563e-05,0.000404747333535945
c_1_12_172,cd4t,0.997938005156126,0.00206199484387436,0.997938005156126,cd4t,cd4_treg,0.700117115834884,0.997938005156126,cd4_treg,0.700117115834884,0.0507656899592475,9.13339779038524e-05,0.0101169521895544,5.0898973412227e-05,0.236620971040029,0.000175043181095824,0.700117115834884,cd8_exhausted,0.0017316163948684,5.92794511992887e-07,3.55824353747634e-05,7.48317953810554e-08,0.00029412838732382,0.0017316163948684
c_1_12_228,cd4t,0.995527168992531,0.00447283100746871,0.995527168992531,cd4t,cd4_treg,0.368163251299551,0.995527168992531,cd4_treg,0.368163251299551,0.104126929090217,0.00472900200114819,0.129517041591619,0.165974968413926,0.0672362344186415,0.155779742177429,0.368163251299551,cd8_cytotoxic,0.00193993804500527,0.000607496014687816,0.000122184288643247,0.00149422890337118,0.00193993804500527,0.0003089837557612
c_1_12_246,cd4t,0.993320971381901,0.00667902861809896,0.993320971381901,cd4t,cd4_treg,0.511030535214297,0.993320971381901,cd4_treg,0.511030535214297,0.000340757121314982,0.0010620171904128,0.00287136482664843,5.08454861962682e-05,0.180796051022462,0.29716940052057,0.511030535214297,cd8_exhausted,0.00659530568550863,3.23581508526452e-05,1.32785989618399e-06,4.69041904856094e-08,4.99900176510176e-05,0.00659530568550863
c_1_12_285,cd4t,0.998685359616904,0.00131464038309658,0.998685359616904,cd4t,cd4_treg,0.703779081940085,0.998685359616904,cd4_treg,0.703779081940085,0.0266757692329763,7.24279402571753e-05,0.000893264793924182,0.00105615682936876,0.185535106589553,0.0806735522907387,0.703779081940085,cd8_cytotoxic,0.00127277583611026,3.78380163971306e-08,3.5748719428326e-07,1.03390859925581e-08,0.00127277583611026,4.1458882689654e-05
c_1_12_413,cd4t,0.995391379371422,0.00460862062857819,0.995391379371422,cd4t,cd4_treg,0.6440132499791,0.995391379371422,cd4_treg,0.6440132499791,0.145983797209408,0.061849901199371,0.123694073990587,1.34508016097121e-08,0.0165200506475638,0.0033302928945897,0.6440132499791,cd8_naive,0.00165520071155462,0.00165520071155462,0.000666837258046951,0.00148707243458693,1.79727817027717e-05,0.000781537442686917
c_1_12_471,cd8t,0.999607738619741,0.999607738619741,0.000392261380259202,cd8t,cd8_exhausted,0.635636161799138,0.999607738619741,cd4_naive,0.000175410591500901,0.000175410591500901,3.34924726280842e-06,2.33783839888829e-05,3.99519928156722e-08,6.44789998466392e-05,1.10115898305663e-05,0.000114592615836589,cd8_exhausted,0.635636161799138,0.000645204496267017,0.010491358419786,0.000133924188658104,0.352701089715892,0.635636161799138
c_1_12_511,cd4t,0.991167294791638,0.00883270520836218,0.991167294791638,cd4t,cd4_treg,0.736316245932596,0.991167294791638,cd4_treg,0.736316245932596,0.000875573312191792,0.00300866420788063,0.166433403891552,0.00689057219975652,0.00353786178167736,0.0741049734659837,0.736316245932596,cd8_exhausted,0.00876072737187375,1.54322637681475e-06,5.24388379991017e-06,1.68228900165884e-08,6.51739034216966e-05,0.00876072737187375
c_1_12_517,cd4t,0.998061060976912,0.0019389390230879,0.998061060976912,cd4t,cd4_treg,0.729769226456498,0.998061060976912,cd4_treg,0.729769226456498,0.00518324925778799,2.12789100089178e-05,9.01850634100406e-07,0.000677054555509329,0.262307245638562,0.000102104307912561,0.729769226456498,cd8_exhausted,0.0019208594901333,3.53048539722721e-06,5.96871604270803e-09,2.43460048752365e-07,1.42996187925785e-05,0.0019208594901333
c_1_12_541,cd4t,0.999166455242132,0.000833544757867474,0.999166455242132,cd4t,cd4_treg,0.686757074632319,0.999166455242132,cd4_treg,0.686757074632319,0.00178473951666623,1.26498556313526e-07,3.94066921443336e-06,4.51588192662187e-05,0.304306732658346,0.00626868244776348,0.686757074632319,cd8_exhausted,0.000823671620742234,2.90887139290467e-06,6.97824563720562e-08,2.31114207045869e-06,4.58334120550446e-06,0.000823671620742234
