cluster,cluster_expr,clusterprime_expr,gene,cluster_prop,clusterprime_prop,ncells,typ,fold_change,fold_change_prop
epithelial,1.90141561280162,3.95857057092904,A1BG,0.777121275313963,0.660386293192515,43158,celltype,0.480328840608587,1.17676772417113
epithelial,0.0351562604970379,0.426169328420393,A2M,0.0446498910978266,0.16210825393181,43158,celltype,0.0824936431426107,0.275432558274351
epithelial,0.0890545102403004,0.108919859076732,AAAS,0.127207006812179,0.0554471358053036,43158,celltype,0.817614996890175,2.29420338786933
epithelial,0.0752303214963748,0.0926931510054675,AAK1,0.0979887853932063,0.0493341751808059,43158,celltype,0.81160604295281,1.98622526948277
epithelial,0.231217395297486,0.149837262777621,AAMP,0.277793224894573,0.0770290437378028,43158,celltype,1.54312345948714,3.60634393749125
epithelial,0.1358328948829,0.147146378811599,AARS1,0.175170304462672,0.0735420732407301,43158,celltype,0.923114085306952,2.38190598583311
epithelial,0.0262731553987112,0.0582917813013245,AASS,0.0382084433940405,0.0313540351279991,43158,celltype,0.45071800538911,1.21861327379583
epithelial,0.0294815348615757,0.0458249700095451,AATK,0.0449974512257287,0.0215819079324991,43158,celltype,0.643350881744928,2.08496168950704
epithelial,0.0330367481061536,0.0481207321780111,ABAT,0.0450437925761157,0.0225289863391115,43158,celltype,0.686538766366689,1.99937058410468
epithelial,0.0369992650309153,0.0840720210653319,ABCA1,0.0531766995690254,0.0466507863620709,43158,celltype,0.440090110384802,1.13988860029721
epithelial,0.0471852776007933,0.0425714047795175,ABCA2,0.0724083599796098,0.0214958098955344,43158,celltype,1.10837962348604,3.36848717640791
epithelial,0.106331247848965,0.0619850287642255,ABCA5,0.115204597061958,0.0307656985420732,43158,celltype,1.71543435517988,3.74457927241313
epithelial,0.076200561147959,0.0709574556134601,ABCB1,0.0738681125167987,0.0342096200206635,43158,celltype,1.07389083344618,2.15927895346924
epithelial,0.115655561197859,0.103953944877544,ABCB10,0.151791093192456,0.0517879692343015,43158,celltype,1.11256538974158,2.93101072385587
epithelial,0.0503375184099987,0.0428740104508347,ABCB7,0.074122989943927,0.0220841464814602,43158,celltype,1.17408000512858,3.35638916388069
epithelial,0.0863307107231535,0.0743311536612139,ABCB8,0.124287501737801,0.0383279761221444,43158,celltype,1.16143375248326,3.24273583717853
epithelial,0.0620138553114316,0.0747680389293418,ABCB9,0.0889522220677511,0.0359889794512685,43158,celltype,0.829416635763801,2.47165169515847
epithelial,0.0745612891819438,0.0834994255451547,ABCC1,0.114926548959637,0.0458759040293881,43158,celltype,0.892955714307551,2.50516150888307
epithelial,0.405800513161397,0.106814161143368,ABCC3,0.398396589276612,0.0520319136723683,43158,celltype,3.79912652795844,7.6567737213206
epithelial,0.0770603194739773,0.120608901333896,ABCC4,0.105750961583021,0.062952014694065,43158,celltype,0.638927298248428,1.6798661980391
epithelial,0.0463677211332399,0.0681232772515962,ABCC8,0.0654571574215673,0.0294024796234646,43158,celltype,0.680644311370876,2.22624616222264
epithelial,0.0315473119705562,0.0519780392468005,ABCC9,0.0431437972102507,0.0246814372632304,43158,celltype,0.606935398635647,1.74802612789997
epithelial,0.103068140614391,0.136658935206365,ABCD1,0.133926502618286,0.0548874985650327,43158,celltype,0.754199792781572,2.4400183305786
epithelial,0.103363437839987,0.0966433273863928,ABCE1,0.140808193150748,0.0502095052232809,43158,celltype,1.06953517263252,2.80441307924817
epithelial,0.112726673018595,0.110765613937397,ABCG1,0.13014968256175,0.0545718057628286,43158,celltype,1.0177045836834,2.38492534271975
epithelial,0.101838496125859,0.0742382895961411,ABHD12,0.147991102460726,0.0408248191941224,43158,celltype,1.3717785886483,3.62502774983587
epithelial,0.241786674681063,0.192157675053334,ABHD2,0.265396913666064,0.0949230857536448,43158,celltype,1.25827227361048,2.79591536198952
epithelial,0.123670808565066,0.0626943210593082,ABHD3,0.151003290235877,0.0319710710595798,43158,celltype,1.97259985394968,4.72312266156096
epithelial,0.0890472633323399,0.104032669267845,ABHD5,0.124449696464155,0.0491045804155665,43158,celltype,0.855954806879721,2.53438060993397
epithelial,0.063578993505397,0.0670796128607422,ABHD6,0.0845729644561843,0.0337791298358397,43158,celltype,0.947813960068426,2.50370465039192
epithelial,0.318726149225679,0.232632831032601,ABI1,0.340330877241763,0.110076340259442,43158,celltype,1.37008240759024,3.09177136921183
epithelial,0.0509343974210905,0.0584595076773636,ABI2,0.0782010287779786,0.0324589599357135,43158,celltype,0.871276537294772,2.40922780436772
epithelial,0.0352605846424093,0.0855820267814107,ABI3BP,0.0476620788729784,0.0381127310297325,43158,celltype,0.412009226335223,1.25055532850155
epithelial,0.0866416459886891,0.091371080849167,ABL1,0.126303350479633,0.0544570083802089,43158,celltype,0.948239258893246,2.31932223668634
epithelial,0.0570265761193353,0.0777049141543868,ABL2,0.0807266323740674,0.0413414074159109,43158,celltype,0.733886353777227,1.95268224813745
epithelial,0.191578309712358,0.0760993176883966,ABLIM1,0.237244543305992,0.0376965905177362,43158,celltype,2.51747736420991,6.29352787739169
epithelial,0.228661148836927,0.107357674545549,ABR,0.272927383103944,0.0628085179657904,43158,celltype,2.12990035230237,4.3453880451788
epithelial,0.0474259627555458,0.0626661416248516,ABRAXAS1,0.066615691181241,0.031196188726897,43158,celltype,0.756803618762097,2.13537915687135
